CHN,Plane,Strip
0,1,396
1,3,343
2,1,395
3,3,340
4,1,394
5,3,337
6,1,393
7,3,334
8,1,392
9,3,331
10,1,391
11,3,328
12,1,390
13,3,325
14,1,389
15,3,322
16,1,388
17,3,319
18,1,387
19,3,316
20,1,386
21,3,313
22,1,385
23,3,310
24,1,384
25,3,307
26,1,383
27,3,304
28,1,382
29,3,301
30,1,381
31,3,298
32,3,321
33,3,323
34,3,324
35,3,326
36,3,327
37,3,329
38,3,330
39,3,332
40,3,333
41,3,335
42,3,336
43,3,338
44,3,339
45,3,341
46,3,342
47,3,344
48,3,297
49,3,299
50,3,300
51,3,302
52,3,303
53,3,305
54,3,306
55,3,308
56,3,309
57,3,311
58,3,312
59,3,314
60,3,315
61,3,317
62,3,318
63,3,320
64,1,404
65,3,367
66,1,403
67,3,364
68,1,402
69,3,361
70,1,401
71,3,358
72,1,400
73,3,355
74,1,399
75,3,352
76,1,398
77,3,349
78,1,397
79,3,346
80,1,412
81,3,391
82,1,411
83,3,388
84,1,410
85,3,385
86,1,409
87,3,382
88,1,408
89,3,379
90,1,407
91,3,376
92,1,406
93,3,373
94,1,405
95,3,370
96,3,345
97,3,347
98,3,348
99,3,350
100,3,351
101,3,353
102,3,354
103,3,356
104,3,357
105,3,359
106,3,360
107,3,362
108,3,363
109,3,365
110,3,366
111,3,368
112,3,369
113,3,371
114,3,372
115,3,374
116,3,375
117,3,377
118,3,378
119,3,380
120,3,381
121,3,383
122,3,384
123,3,386
124,3,387
125,3,389
126,3,390
127,3,392
