CHN# in data,Plane,Strip
0,2,8
1,3,23
2,2,7
3,3,20
4,2,6
5,3,17
6,2,5
7,3,14
8,2,4
9,3,11
10,2,3
11,3,8
12,2,2
13,3,5
14,2,1
15,3,2
16,3,1
17,3,3
18,3,4
19,3,6
20,3,7
21,3,9
22,3,10
23,3,12
24,3,13
25,3,15
26,3,16
27,3,18
28,3,19
29,3,21
30,3,22
31,3,24
32,3,25
33,3,27
34,3,28
35,3,30
36,3,31
37,3,33
38,3,34
39,3,36
40,3,37
41,3,39
42,3,40
43,3,42
44,3,43
45,3,45
46,3,46
47,3,48
48,2,16
49,3,47
50,2,15
51,3,44
52,2,14
53,3,41
54,2,13
55,3,38
56,2,12
57,3,35
58,2,11
59,3,32
60,2,10
61,3,29
62,2,9
63,3,26
64,2,24
65,3,71
66,2,23
67,3,68
68,2,22
69,3,65
70,2,21
71,3,62
72,2,20
73,3,59
74,2,19
75,3,56
76,2,18
77,3,53
78,2,17
79,3,50
80,3,49
81,3,51
82,3,52
83,3,54
84,3,55
85,3,57
86,3,58
87,3,60
88,3,61
89,3,63
90,3,64
91,3,66
92,3,67
93,3,69
94,3,70
95,3,72
96,3,73
97,3,75
98,3,76
99,3,78
100,3,79
101,3,81
102,3,82
103,3,84
104,3,85
105,3,87
106,3,88
107,3,90
108,3,91
109,3,93
110,3,94
111,3,96
112,2,32
113,3,95
114,2,31
115,3,92
116,2,30
117,3,89
118,2,29
119,3,86
120,2,28
121,3,83
122,2,27
123,3,80
124,2,26
125,3,77
126,2,25
127,3,74
