CHN,Plane,Strip
0,2,445
1,1,349
2,2,443
3,1,347
4,2,441
5,1,345
6,2,439
7,1,343
8,2,437
9,1,341
10,2,435
11,1,339
12,2,433
13,1,337
14,2,431
15,1,335
16,1,334
17,1,333
18,2,427
19,1,331
20,2,425
21,1,329
22,2,423
23,1,327
24,2,421
25,1,325
26,2,419
27,1,323
28,2,417
29,1,321
30,1,320
31,1,319
32,1,336
33,2,432
34,1,338
35,2,434
36,1,340
37,2,436
38,1,342
39,2,438
40,1,344
41,2,440
42,1,346
43,2,442
44,1,348
45,2,444
46,1,350
47,2,446
48,2,415
49,2,416
50,1,322
51,2,418
52,1,324
53,2,420
54,1,326
55,2,422
56,1,328
57,2,424
58,1,330
59,2,426
60,1,332
61,2,428
62,2,429
63,2,430
64,2,461
65,1,365
66,2,459
67,1,363
68,2,457
69,1,361
70,2,455
71,1,359
72,2,453
73,1,357
74,2,451
75,1,355
76,2,449
77,1,353
78,2,447
79,1,351
80,3,296
81,3,294
82,2,475
83,1,379
84,2,473
85,1,377
86,2,471
87,1,375
88,2,469
89,1,373
90,2,467
91,1,371
92,2,465
93,1,369
94,2,463
95,1,367
96,1,352
97,2,448
98,1,354
99,2,450
100,1,356
101,2,452
102,1,358
103,2,454
104,1,360
105,2,456
106,1,362
107,2,458
108,1,364
109,2,460
110,1,366
111,2,462
112,1,368
113,2,464
114,1,370
115,2,466
116,1,372
117,2,468
118,1,374
119,2,470
120,1,376
121,2,472
122,1,378
123,2,474
124,1,380
125,2,476
126,3,293
127,3,295
