CHN# in data,Plane,Strip
0,2,110
1,2,109
2,2,108
3,2,107
4,2,106
5,2,105
6,2,104
7,2,103
8,2,102
9,2,101
10,2,100
11,2,99
12,2,98
13,2,97
14,3,292
15,3,290
16,3,289
17,3,291
18,1,1
19,1,2
20,1,3
21,1,4
22,1,5
23,1,6
24,1,7
25,1,8
26,1,9
27,1,10
28,1,11
29,1,12
30,1,13
31,1,14
32,1,15
33,1,16
34,1,17
35,1,18
36,1,19
37,1,20
38,1,21
39,1,22
40,1,23
41,1,24
42,1,25
43,1,26
44,1,27
45,1,28
46,1,29
47,1,30
48,2,126
49,2,125
50,2,124
51,2,123
52,2,122
53,2,121
54,2,120
55,2,119
56,2,118
57,2,117
58,2,116
59,2,115
60,2,114
61,2,113
62,2,112
63,2,111
64,2,142
65,2,141
66,2,140
67,2,139
68,2,138
69,2,137
70,2,136
71,2,135
72,2,134
73,2,133
74,2,132
75,2,131
76,2,130
77,2,129
78,2,128
79,2,127
80,1,31
81,1,32
82,1,33
83,1,34
84,1,35
85,1,36
86,1,37
87,1,38
88,1,39
89,1,40
90,1,41
91,1,42
92,1,43
93,1,44
94,1,45
95,1,46
96,1,47
97,1,48
98,1,49
99,1,50
100,1,51
101,1,52
102,1,53
103,1,54
104,1,55
105,1,56
106,1,57
107,1,58
108,1,59
109,1,60
110,1,61
111,1,62
112,2,158
113,2,157
114,2,156
115,2,155
116,2,154
117,2,153
118,2,152
119,2,151
120,2,150
121,2,149
122,2,148
123,2,147
124,2,146
125,2,145
126,2,144
127,2,143
