CHN# in data,Plane,Strip
0,1,78
1,1,77
2,1,76
3,1,75
4,1,74
5,1,73
6,1,72
7,1,71
8,1,70
9,1,69
10,1,68
11,1,67
12,1,66
13,1,65
14,1,64
15,1,63
16,2,159
17,2,160
18,2,161
19,2,162
20,2,163
21,2,164
22,2,165
23,2,166
24,2,167
25,2,168
26,2,169
27,2,170
28,2,171
29,2,172
30,2,173
31,2,174
32,2,175
33,2,176
34,2,177
35,2,178
36,2,179
37,2,180
38,2,181
39,2,182
40,2,183
41,2,184
42,2,185
43,2,186
44,2,187
45,2,188
46,2,189
47,2,190
48,1,94
49,1,93
50,1,92
51,1,91
52,1,90
53,1,89
54,1,88
55,1,87
56,1,86
57,1,85
58,1,84
59,1,83
60,1,82
61,1,81
62,1,80
63,1,79
64,1,110
65,1,109
66,1,108
67,1,107
68,1,106
69,1,105
70,1,104
71,1,103
72,1,102
73,1,101
74,1,100
75,1,99
76,1,98
77,1,97
78,1,96
79,1,95
80,2,191
81,2,192
82,2,193
83,2,194
84,2,195
85,2,196
86,2,197
87,2,198
88,2,199
89,2,200
90,2,201
91,2,202
92,2,203
93,2,204
94,2,205
95,2,206
96,2,207
97,2,208
98,2,209
99,2,210
100,2,211
101,2,212
102,2,213
103,2,214
104,2,215
105,2,216
106,2,217
107,2,218
108,2,219
109,2,220
110,2,221
111,2,222
112,1,126
113,1,125
114,1,124
115,1,123
116,1,122
117,1,121
118,1,120
119,1,119
120,1,118
121,1,117
122,1,116
123,1,115
124,1,114
125,1,113
126,1,112
127,1,111
